"Category","File","Canonical URL","Status"
"Core","home.html","https://pineappleroofingllc.com/","DRAFT - QA REQUIRED"
"Core","about.html","https://pineappleroofingllc.com/about/","DRAFT - QA REQUIRED"
"Core","insurance-claims.html","https://pineappleroofingllc.com/roof-insurance-claims-help-in-dfw-pineapple-contractors/","DRAFT - QA REQUIRED"
"Core","financing.html","https://pineappleroofingllc.com/roof-financing-in-dfw-full-restoration-coverage-pineapple-contractors/","DRAFT - QA REQUIRED"
"Core","reviews.html","https://pineappleroofingllc.com/reviews/","DRAFT - QA REQUIRED"
"Core","contact.html","https://pineappleroofingllc.com/contact-pineapple-contractors-roofing-in-frisco-dfw-972-928-0788/","DRAFT - QA REQUIRED"
"Core","faq.html","https://pineappleroofingllc.com/faq/","DRAFT - QA REQUIRED"
"Service","residential-roofing.html","https://pineappleroofingllc.com/services/residential-roofing-dfw/","DRAFT - QA REQUIRED"
"Service","commercial-roofing.html","https://pineappleroofingllc.com/services/commercial-roofing-dfw/","DRAFT - QA REQUIRED"
"Service","roof-installation.html","https://pineappleroofingllc.com/services/roof-installation-dfw/","DRAFT - QA REQUIRED"
"Service","leak-repair.html","https://pineappleroofingllc.com/services/roof-repair-dallas-tx/","DRAFT - QA REQUIRED"
"Service","shingle-roofing.html","https://pineappleroofingllc.com/services/shingle-roofing-dfw/","DRAFT - QA REQUIRED"
"Service","tpo-roofing.html","https://pineappleroofingllc.com/services/tpo-roofing-dfw/","DRAFT - QA REQUIRED"
"Service","pvc-roofing.html","https://pineappleroofingllc.com/services/pvc-roofing-dfw/","DRAFT - QA REQUIRED"
"Service","metal-roofing.html","https://pineappleroofingllc.com/services/metal-roofing-dfw/","DRAFT - QA REQUIRED"
"Service","tile-roofing.html","https://pineappleroofingllc.com/services/tile-roofing-dfw/","DRAFT - QA REQUIRED"
"Service","slate-roofing.html","https://pineappleroofingllc.com/services/slate-roofing-dfw/","DRAFT - QA REQUIRED"
"Service","gutters.html","https://pineappleroofingllc.com/services/gutter-installation-dallas-tx/","DRAFT - QA REQUIRED"
"Service","sheet-metal.html","https://pineappleroofingllc.com/services/sheet-metal-services-dfw/","DRAFT - QA REQUIRED"
"Service","storm-emergency.html","https://pineappleroofingllc.com/services/storm-damage-repair-dallas-tx/","DRAFT - QA REQUIRED"
"City","frisco.html","https://pineappleroofingllc.com/locations/frisco-tx/","DRAFT - QA REQUIRED"
"City","plano.html","https://pineappleroofingllc.com/locations/plano-tx/","DRAFT - QA REQUIRED"
"City","mckinney.html","https://pineappleroofingllc.com/locations/mckinney-tx/","DRAFT - QA REQUIRED"
"City","allen.html","https://pineappleroofingllc.com/locations/allen-tx/","DRAFT - QA REQUIRED"
"City","lewisville.html","https://pineappleroofingllc.com/locations/lewisville-tx/","DRAFT - QA REQUIRED"
"City","the-colony.html","https://pineappleroofingllc.com/locations/the-colony-tx/","DRAFT - QA REQUIRED"
"City","flower-mound.html","https://pineappleroofingllc.com/locations/flower-mound-tx/","DRAFT - QA REQUIRED"
"City","denton.html","https://pineappleroofingllc.com/locations/denton-tx/","DRAFT - QA REQUIRED"
"City","little-elm.html","https://pineappleroofingllc.com/locations/little-elm-tx/","DRAFT - QA REQUIRED"
"City","fort-worth.html","https://pineappleroofingllc.com/locations/fort-worth-tx/","DRAFT - QA REQUIRED"
"City","arlington.html","https://pineappleroofingllc.com/locations/arlington-tx/","DRAFT - QA REQUIRED"
"City","dallas.html","https://pineappleroofingllc.com/locations/dallas-tx/","DRAFT - QA REQUIRED"
"City","irving.html","https://pineappleroofingllc.com/locations/irving-tx/","DRAFT - QA REQUIRED"
