Old URL (pineapplecontractors.com),New URL (pineappleroofingllc.com),Status,Priority,Notes
https://www.pineapplecontractors.com/,https://pineappleroofingllc.com/,LIVE,1,Homepage 301
https://www.pineapplecontractors.com/insurance-claims/,https://pineappleroofingllc.com/roof-insurance-claims-help-in-dfw-pineapple-contractors/,LIVE,1,New page exists
https://www.pineapplecontractors.com/financing/,https://pineappleroofingllc.com/roof-financing-in-dfw-full-restoration-coverage-pineapple-contractors/,LIVE,1,New page exists
https://www.pineapplecontractors.com/service-areas/,https://pineappleroofingllc.com/service-areas-roofing-across-dallas-fort-worth-pineapple-contractors/,LIVE,1,New page exists
https://www.pineapplecontractors.com/contact-us/,https://pineappleroofingllc.com/contact-pineapple-contractors-roofing-in-frisco-dfw-972-928-0788/,LIVE,1,New page exists
https://www.pineapplecontractors.com/construction-services/,https://pineappleroofingllc.com/construction-remodeling-services-in-dfw-pineapple-contractors/,LIVE,2,New page exists
https://www.pineapplecontractors.com/restoration-services/,https://pineappleroofingllc.com/restoration-services-in-dfw-water-fire-mold-storm-pineapple-contractors/,LIVE,2,Consider linking to pineapplerestorations.com
https://www.pineapplecontractors.com/roofing-services/residential-roofing/,https://pineappleroofingllc.com/services/roof-replacement-dallas-tx/,LIVE,1,Residential -> roof replacement
https://www.pineapplecontractors.com/roofing-services/leak-repair/,https://pineappleroofingllc.com/services/roof-repair-dallas-tx/,LIVE,1,Leak repair -> roof repair
https://www.pineapplecontractors.com/construction-services/emergency-roof-repairs/,https://pineappleroofingllc.com/services/storm-damage-repair-dallas-tx/,LIVE,1,Emergency -> storm damage
https://www.pineapplecontractors.com/roofing-services/residential-roofing/gutter-installation-repair/,https://pineappleroofingllc.com/services/gutter-installation-dallas-tx/,LIVE,2,Gutters
https://www.pineapplecontractors.com/construction-services/new-construction/siding-services/,https://pineappleroofingllc.com/services/siding-installation-dallas-tx/,LIVE,2,Siding
https://www.pineapplecontractors.com/blog/,https://pineappleroofingllc.com/blog/,LIVE,2,Blog
https://www.pineapplecontractors.com/reviews/,https://pineappleroofingllc.com/#reviews,LIVE,2,Reviews anchor
https://www.pineapplecontractors.com/about/,https://pineappleroofingllc.com/#about,LIVE,2,About anchor (build /about/ if desired)
https://www.pineapplecontractors.com/faq/,https://pineappleroofingllc.com/#faq,LIVE,2,FAQ anchor
https://www.pineapplecontractors.com/roofing-services/commercial-roofing/,https://pineappleroofingllc.com/locations/commercial-roofing-dfw/,BUILD,2,Build commercial page
https://www.pineapplecontractors.com/roofing-services/tpo-roofing/,https://pineappleroofingllc.com/services/tpo-roofing-dfw/,BUILD,3,Build TPO page
